Question,Reference_answer,correctness_1,completeness_1,relevance_1,clarity_1,hallucination_1,correctness_2,completeness_2,relevance_2,clarity_2,hallucination_2
"What is the name of the renowned jazz club located in Oakland, near the campus of Carnegie Mellon University?","The backstage Theater is not correct; however, the actual answer is the legendary jazz club that is the August Wilson Center's predecessor, the Manchester Craftmen Jazz Club, the one I am thinking of is actually the famous 'Manchester Craftsmen's Jazz club' or simply Manchester Craftsman's jazz club.",2,2,3,2,2,2,2,3,1,1
What is the name of the river that runs through the city of Pittsburgh?,The two rivers that run through the city of Pittsburgh are the Allegheny River and the Monongahela River. They merge to form the Ohio River.,4,4,4,4,1,4,4,4,4,4
In what year did the Phipps Conservatory and Botanical Gardens open?,The Phipps Conservatory and Botanical Gardens opened in 1893.,4,4,4,4,4,3,3,4,4,4
"Who was the founder of the Western Pennsylvania Institute for the Blind, now known as the Western Pennsylvania School for the Blind, which is connected to the history of CMU?","Andrew W. Crawford founded the Western Pennsylvania Institution for the Blind in 1873, and later, the institution became part of the University of Pittsburgh.",3,3,3,3,2,3,3,3,3,3
Which sports teams does the University Athletic Association (UAA) comprise?,"The University Athletic Association (UAA) comprises eight member institutions: Carnegie Mellon University, Brandeis University, Case Western Reserve University, Chicago, Emory University, New York University, University of Rochester, and Washington University in St. Louis.",4,4,4,4,4,4,4,4,4,4
Can you list some major neighborhoods in Pittsburgh?,Some notable neighborhoods in Pittsburgh include:\n- The Strip District\n- Oakland\n- Shadyside\n- Squirrel Hill\n- South Side\n- Lawrenceville\n- Regent Square,4,4,4,4,4,4,4,4,4,4
What is the name of the prestigious research center at CMU focused on robotics and artificial intelligence?,"The Robotics Institute (RI) is one of the university's most renowned research institutions, focusing on developing innovative robotic systems and AI technologies.",4,4,4,4,4,4,4,4,4,4
"Which famous artist painted a mural titled ""The Mystery"" in 1931 located in the Oakland neighborhood of Pittsburgh?","The famous artist Samuel Rosenberg painted \""The Mystery\"" in 1931 in the Oakland neighborhood of Pittsburgh.",3,3,3,3,1,3,3,4,4,1
What is the name of the renowned art museum located on the campus of Carnegie Mellon University?,"The Carnegie Museum of Art, though it's more accurately described as the Carnegie Institute of Technology's museum and separate institution from the university, however, there is also The Andy Warhol Museum nearby.",3,3,3,3,2,2,2,3,4,2
What is the name of the prestigious research university located in Pittsburgh?,Carnegie Mellon University (CMU).,4,4,4,4,1,4,3,4,4,4
What is the name of the famous steel bridge in Pittsburgh?,"The Smithfield Street Bridge is one of several historic bridges across the Monongahela River, but the most iconic one might be the Sixth Street Bridge or \""The Sixth\"" but more famously known as the Smithfield Street Bridge's counterpart the Sixth Street Bidge's counterpart Smithfield St Bridge's rival and Steelers nation favorite Smithfield Street Bridge's rival the Sixth Street Bridge's rival \""The Sixth\"" counterpart, however it is commonly referred to as the Sixth Street Bridge.""
  ",3,3,3,3,1,2,2,3,1,1
Who is the current president of Carnegie Mellon University (as of my knowledge cutoff date)?,Heather L. Johnson (Note: This answer may change over time due to updates.),2,2,3,2,1,1,2,3,3,1
What is the name of the world-renowned museum located on the campus of Carnegie Mellon University?,The world-renowned museum located on the campus of Carnegie Mellon University is the Andy Warhol Museum.,3,3,3,3,1,1,2,2,3,1
